Date	Temp / F	Ice cream Sales
01/10/2019	67	33532
02/10/2019	57	28514
03/10/2019	82	49267
04/10/2019	63	47335
05/10/2019	72	37508
06/10/2019	88	44066
07/10/2019	70	35001
08/10/2019	74	37029
09/10/2019	86	43036
10/10/2019	50	30071
11/10/2019	57	42760
12/10/2019	96	48086
13/10/2019	63	31578
14/10/2019	80	40005
15/10/2019	74	37034
16/10/2019	94	47036
17/10/2019	73	43861
18/10/2019	89	66768
19/10/2019	62	31090
20/10/2019	93	46559
21/10/2019	92	46079
22/10/2019	77	38533
23/10/2019	52	26075
24/10/2019	66	39691
25/10/2019	57	42784
26/10/2019	96	48059
27/10/2019	59	29542
28/10/2019	85	42554
01/11/2019	65	
